size expected actual delta
96 0 0 0 0
100 0 0 0 0
104 0 0 0 0
105 0 0 0 0
108 2 0 -2 -2
109 2 0 -2 0
110 2 0 -2 0
112 7 2 -5 -3
113 8 6 -2 3
114 9 6 -3 -1
115 9 6 -3 0
116 21 13 -8 -5
117 26 19 -7 1
118 30 24 -6 1
119 31 24 -7 -1
120 56 42 -14 -7
121 69 58 -11 3
122 82 69 -13 -2
123 87 74 -13 0
124 134 105 -29 -16
125 162 136 -26 3
126 194 167 -27 -1
127 213 179 -34 -7
128 298 254 -44 -10
129 350 307 -43 1
130 419 373 -46 -3
131 468 420 -48 -2
132 620 582 -38 10
133 711 677 -34 4
134 839 793 -46 -12
135 942 905 -37 9
136 1203 1138 -65 -28
137 1365 1319 -46 19
138 1589 1549 -40 6
139 1773 1744 -29 11
140 2198 2147 -51 -22
141 2481 2422 -59 -8
142 2862 2794 -68 -9
143 3172 3076 -96 -28
144 3827 3748 -79 17
145 4292 4204 -88 -9
146 4920 4821 -99 -11
147 5430 5297 -133 -34
148 6405 6300 -105 28
149 7123 6997 -126 -21
150 8106 7949 -157 -31
151 8926 8760 -166 -9
152 10363 10228 -135 31
153 11428 11306 -122 13
154 12886 12711 -175 -53
155 14139 13897 -242 -67
156 16235 16001 -234 8
157 17801 17574 -227 7
158 19892 19660 -232 -5
159 21711 21439 -272 -40
160 24680 24440 -240 32
161 26966 26690 -276 -36
162 29927 29509 -418 -142
163 32487 32109 -378 40
164 36561 36159 -402 -24
165 39789 39475 -314 88
166 43951 43656 -295 19
167 47523 47214 -309 -14
168 52995 52676 -319 -10
169 57394 57129 -265 54
170 63093 62972 -121 144
171 68051 67724 -327 -206
172 75339 75079 -260 67
173 81210 80975 -235 25
174 88790 88442 -348 -113
175 95502 95139 -363 -15
176 105166 104824 -342 21
177 112947 112544 -403 -61
178 122856 122526 -330 73
179 131671 131233 -438 -108
180 144266 143913 -353 85
181 154556 154125 -431 -78
182 167410 166977 -433 -2
183 178802 178300 -502 -69
184 194865 194359 -506 -4
185 208240 207954 -286 220
186 224856 224637 -219 67
187 239484 239182 -302 -83
188 259722 259146 -576 -274
189 276694 276032 -662 -86
190 297870 297019 -851 -189
191 316624 315766 -858 -7
192 341977 341165 -812 46
193 363251 362376 -875 -63
194 389696 388976 -720 155
195 413423 412622 -801 -81
196 445119 444146 -973 -172
197 471652 470380 -1272 -299
198 504337 503055 -1282 -10
199 533730 532459 -1271 11
200 572942 571314 -1628 -357
201 606017 604567 -1450 178
202 646214 644924 -1290 160
203 682282 680825 -1457 -167
204 729982 728343 -1639 -182
205 770781 768686 -2095 -456
206 820164 818831 -1333 762
207 864229 862695 -1534 -201
208 921800 920022 -1778 -244
209 971215 969380 -1835 -57
210 1031333 1029309 -2024 -189
211 1085164 1082754 -2410 -386
212 1154352 1152078 -2274 136
213 1213770 1211059 -2711 -437
214 1285793 1283643 -2150 561
215 1350980 1348298 -2682 -532
216 1434058 1431329 -2729 -47
217 1505246 1502667 -2579 150
218 1590973 1588216 -2757 -178
219 1668590 1666186 -2404 353
220 1767632 1764720 -2912 -508
221 1852922 1849484 -3438 -526
222 1954561 1951213 -3348 90
223 2046443 2042971 -3472 -124
224 2162883 2159610 -3273 199
225 2264357 2260850 -3507 -234
226 2384771 2382040 -2731 776
227 2493163 2490098 -3065 -334
228 2629338 2625497 -3841 -776
229 2748242 2744591 -3651 190
230 2890040 2887129 -2911 740
231 3017924 3015152 -2772 139
232 3176622 3173618 -3004 -232
233 3315245 3312249 -2996 8
234 3479965 3476861 -3104 -108
235 3630000 3627451 -2549 555
236 3814874 3811917 -2957 -408
237 3976006 3973031 -2975 -18
238 4166467 4163586 -2881 94
239 4339925 4337444 -2481 400
240 4554193 4551681 -2512 -31
241 4741587 4738680 -2907 -395
242 4961167 4960020 -1147 1760
243 5160889 5158777 -2112 -965
244 5406117 5402639 -3478 -1366
245 5622939 5619398 -3541 -63
246 5876030 5872806 -3224 317
247 6105409 6102461 -2948 276
248 6385107 6382426 -2681 267
249 6632577 6629258 -3319 -638
250 6922919 6920674 -2245 1074
251 7186384 7185042 -1342 903
252 7504517 7502899 -1618 -276
253 7786161 7784706 -1455 163
254 8115223 8114264 -959 496
255 8416560 8415463 -1097 -138
256 8778245 8778023 -222 875
257 9097884 9097261 -623 -401
258 9469775 9468473 -1302 -679
259 9810047 9808936 -1111 191
260 10219791 10217309 -2482 -1371
