size expected actual delta
96 0 0 0 0
100 0 0 0 0
104 0 0 0 0
105 0 0 0 0
108 1 1 0 0
109 1 2 1 1
110 1 2 1 0
112 5 4 -1 -2
113 6 7 1 2
114 7 7 0 -1
115 7 7 0 0
116 16 22 6 6
117 20 27 7 1
118 23 35 12 5
119 24 36 12 0
120 44 57 13 1
121 55 69 14 1
122 65 79 14 0
123 69 84 15 1
124 107 131 24 9
125 130 156 26 2
126 157 185 28 2
127 173 205 32 4
128 242 292 50 18
129 284 352 68 18
130 343 426 83 15
131 385 477 92 9
132 509 637 128 36
133 585 723 138 10
134 695 841 146 8
135 782 942 160 14
136 999 1210 211 51
137 1135 1368 233 22
138 1328 1608 280 47
139 1487 1790 303 23
140 1844 2237 393 90
141 2084 2525 441 48
142 2415 2935 520 79
143 2682 3244 562 42
144 3238 3883 645 83
145 3637 4348 711 66
146 4186 4949 763 52
147 4627 5437 810 47
148 5461 6429 968 158
149 6081 7157 1076 108
150 6946 8169 1223 147
151 7660 8982 1322 99
152 8896 10413 1517 195
153 9821 11506 1685 168
154 11111 12994 1883 198
155 12211 14252 2041 158
156 14025 16332 2307 266
157 15392 17921 2529 222
158 17248 20055 2807 278
159 18852 21896 3044 237
160 21440 24761 3321 277
161 23446 27059 3613 292
162 26084 29959 3875 262
163 28349 32574 4225 350
164 31918 36626 4708 483
165 34768 39908 5140 432
166 38488 44005 5517 377
167 41657 47438 5781 264
168 46470 52948 6478 697
169 50371 57407 7036 558
170 55485 63021 7536 500
171 59901 68001 8100 564
172 66333 75283 8950 850
173 71555 81234 9679 729
174 78378 88953 10575 896
175 84380 95752 11372 797
176 92942 105433 12491 1119
177 99883 113234 13351 860
178 108820 123202 14382 1031
179 116727 132019 15292 910
180 127932 144577 16645 1353
181 137139 154938 17799 1154
182 148757 167775 19018 1219
183 158997 179127 20130 1112
184 173332 195214 21882 1752
185 185340 208488 23148 1266
186 200390 225195 24805 1657
187 213565 239717 26152 1347
188 231671 259866 28195 2043
189 246950 276889 29939 1744
190 266178 297895 31717 1778
191 283105 317023 33918 2201
192 305838 342461 36623 2705
193 325028 363526 38498 1875
194 349089 390152 41063 2565
195 370560 413695 43135 2072
196 399049 445248 46199 3064
197 423026 471709 48683 2484
198 452807 504477 51670 2987
199 479460 533574 54114 2444
200 514800 572737 57937 3823
201 544745 605596 60851 2914
202 581422 646138 64716 3865
203 614173 682147 67974 3258
204 657258 730070 72812 4838
205 694282 770729 76447 3635
206 739404 819888 80484 4037
207 779474 863787 84313 3829
208 831558 921569 90011 5698
209 876485 971142 94657 4646
210 931514 1031766 100252 5595
211 980538 1086063 105525 5273
212 1043243 1155018 111775 6250
213 1097332 1214602 117270 5495
214 1163355 1286466 123111 5841
215 1222827 1351240 128413 5302
216 1298253 1434603 136350 7937
217 1363154 1505841 142687 6337
218 1441827 1591668 149841 7154
219 1512744 1669156 156412 6571
220 1602835 1767653 164818 8406
221 1680698 1852961 172263 7445
222 1774088 1954757 180669 8406
223 1858139 2046958 188819 8150
224 1964244 2163667 199423 10604
225 2057031 2265581 208550 9127
226 2167785 2386055 218270 9720
227 2267056 2494425 227369 9099
228 2391324 2631001 239677 12308
229 2500227 2749538 249311 9634
230 2630834 2891093 260259 10948
231 2748082 3019024 270942 10683
232 2893103 3177595 284492 13550
233 3020203 3316417 296214 11722
234 3172135 3480998 308863 12649
235 3309913 3630765 320852 11989
236 3479097 3816320 337223 16371
237 3627001 3977537 350536 13313
238 3802832 4168641 365809 15273
239 3962333 4341674 379341 13532
240 4158760 4555681 396921 17580
241 4330993 4742588 411595 14674
242 4533934 4961785 427851 16256
243 4717750 5161364 443614 15763
244 4942886 5406545 463659 20045
245 5142450 5623216 480766 17107
246 5376623 5876144 499521 18755
247 5588009 6105901 517892 18371
248 5845116 6385493 540377 22485
249 6073177 6633482 560305 19928
250 6342127 6923964 581837 21532
251 6585175 7187141 601966 20129
252 6878054 7505278 627224 25258
253 7137917 7785910 647993 20769
254 7443126 8115179 672053 24060
255 7721447 8416206 694759 22706
256 8054815 8777676 722861 28102
257 8350083 9096907 746824 23963
258 8695400 9468860 773460 26636
259 9010150 9808362 798212 24752
260 9388386 10217215 828829 30617
261 9723862 10580817 856955 28126
262 10113389 11000575 887186 30231
263 10468213 11383142 914929 27743
264 10892543 11842634 950091 35162
265 11272722 12252788 980066 29975
266 11712113 12725208 1013095 33029
267 12111137 13155462 1044325 31230
